SER DOCUMENT AND DRAWING REGISTER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Discipline :,Structural,,,Reg No.,230049-M+J-00-XX-RE-S-00-01_NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project No.,230049,,,Client No.,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name:,"LONGMORN DISTILERY, ELGIN, MORAYSHIRE, IV30 3SJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Client:,,,,CHIVAS BROTHERS LTD,,,INSERT NEW COLUMN (I),*,,*,*,*,*,*,*,*,*,,*,,,*,*,*,,,,,,,,,,,,,,,
Council:,,,,MORAY COUNCIL,,,,,,,,,,,,,,,,*,*,,*,,,,,,,,,,,,,,,, 
Contractor:,,,,G&A CONSTRUCTION,,,,,,,,,*,*,*,*,,,*,,,*,,,,,,,,,,,,,,,,,
,,,,SIMMERS CONTRACTS LTD,,,,,,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Issue,,,,,,,,2024-07-19 00:00:00,,2025-01-16 00:00:00,2025-01-15 00:00:00,2024-12-20 00:00:00,2024-08-29 00:00:00,2024-07-19 00:00:00,2024-07-12 00:00:00,2024-07-10 00:00:00,2024-07-08 00:00:00,2024-07-19 00:00:00,2024-07-05 00:00:00,2024-07-02 00:00:00,2024-06-19 00:00:00,2024-06-18 00:00:00,2024-05-07 00:00:00,2024-03-11 00:00:00,,,,,,,,,,,,,,,
Purpose of Issue :,,Approval      Construction      Draft       Feasibility       Information       Planning       Tender     Warrant,,,,,,T,,C,C,C,I,C,C,C,T,T,C,C,W,C,W,I,,,,,,,,,,,,,,,
Method of Issue :,,Email          Sharepoint    ,,,,,,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,
Issued by :,,,,,,,,KG,,KG,WB,KG,MJ,KG,KG,MJ,MJ,MJ,MJ,SW,SW,MJ,SW,MJ,,,,,,,,,,,,,,,
Document Number,,Document Type,Package,Decription,,Size,Issue / Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CONDENSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-07,,DR,28,STEELWORK SECTIONS SHEET 2,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-08,,DR,28,STEELWORK SECTIONS SHEET 3,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-09,,DR,28,EXTERNAL STAIRS,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-10,,DR,28,STEELWORK ON ELEVATIONS ON GRIDS 1 & 2,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-11,,DR,28,STEELWORK ON ELEVATIONS ON GRIDS 3 & 4,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-12,,DR,28,STEELWORK ON ELEVATIONS ON GRIDS 5,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-13,,DR,28,STEELWORK ON ELEVATIONS ON GRID A,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-14,,DR,28,STEELWORK ON ELEVATIONS ON GRIDS B,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-15,,DR,28,STEELWORK ON ELEVATIONS ON GRIDS C,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-16,,DR,28,STEELWORK FOR SUPPORTING STEELWORK FOR CONDENSORS,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EXTERNAL PLANT & EQUIPMENT REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-01,,DR,00,GENERAL NOTES,,,,,,A,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-02,,DR,00,GENERAL ARRANGEMENT-GROUND FLOOR LAYOUT,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-03,,DR,00,GENERAL ARRANGEMENT-PLAN ON LEVEL 01,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-04,,DR,00,GENERAL ARRANGEMENT-PLAN AT LEVEL 02,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-05,,DR,00,GENERAL ARRANGEMENT-ROOF LAYOUT,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-06,,DR,00,GENERAL ARRANGEMENT-SECTIONS - SHEET 1,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-07,,DR,00,GENERAL ARRANGEMENT-SECTIONS - SHEET 2,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-08,,DR,00,GENERAL ARRANGEMENT-SECTIONS - SHEET 3,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-09,,DR,00,GENERAL ARRANGEMENT-3D ISOMETRIC VIEWS,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-20-01,,DR,20,STRUCTURAL-SLAB LAYOUT,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-20-02,,DR,20,STRUCTURAL-SLAB DETAILS,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-01,,DR,28,STRUCTURAL-COLUMN LAYOUT,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-02,,DR,28,STRUCTURAL-G.A. OF STEELWORK ON LEVEL 01,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-03,,DR,28,STRUCTURAL-G.A. OF STEELWORK ON HALF LANDING 02,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-04,,DR,28,STRUCTURAL-G.A. OF STEELWORK ON LEVEL 02,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-05,,DR,28,STRUCTURAL-G.A. OF STEELWORK ON ROOF,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-06,,DR,28,STRUCTURAL-STEELWORK SECTIONS SHEET 1,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-07,,DR,28,STRUCTURAL-STEELWORK SECTIONS SHEET 2,,,,,,,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-08,,DR,28,STRUCTURAL-STEELWORK SECTIONS SHEET 3,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-09,,DR,28,STRUCTURAL-EXTERNAL STAIRS,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-10,,DR,28,STRUCTURAL-G.A. OF STEELWORK ELEVATIONS-GRIDS 1 & 2,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-11,,DR,28,STRUCTURAL-G.A. OF STEELWORK ELEVATIONS-GRIDS 3 & 4,,,,,,,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-12,,DR,28,STRUCTURAL-G.A. OF STEELWORK ELEVATIONS-GRID 5,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-13,,DR,28,STRUCTURAL-G.A. OF STEELWORK ELEVATIONS-GRID A,,,,,,,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-14,,DR,28,STRUCTURAL-G.A. OF STEELWORK ELEVATIONS-GRID B,,,,,,B,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-15,,DR,28,STRUCTURAL-G.A. OF STEELWORK ELEVATIONS-GRID C,,,,,,,,A,,,,,,*,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-16,,DR,28,STRUCTURAL-G.A. OF SUPPORTING STEELWORK-ON MVR CONDENSERS,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-90,,DR,28,CONNECTION LOADS - LEVEL 01,,,,,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-91,,DR,28,CONNECTION LOADS - HALF LANDING 02,,,,,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-92,,DR,28,CONNECTION LOADS - LEVEL 02,,,,,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-28-93,,DR,28,CONNECTION LOADS - ROOF,,,,,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MVR & SWITCH ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-01,,DR,00,OVERALL SITE LAYOUT,,A1,,,,,,,,,,,,,,D,C,C,B,*,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-02,,DR,00,GROUND FLOOR PLANS,,A1,,,,,,,,F,,E,,,,D,C,C,B,*,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-03,,DR,00,SECTIONS SHEET 1,,A1,,,,,,,,F,E,D,,,,,C,C,B,*,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-04,,DR,00,SECTIONS SHEET 2,,A1,,,,,,,,D,,C,,,,,,B,B,*,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-05,,DR,00,3D ISOMETRIC VIEW,,A1,,,,,,,,,,C,,,,,,B,B,*,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-06,,DR,00,GENERAL NOTES,,A1,,,,,,,,A,,,,,,,,*,*,,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-00-07,,DR,00,ELEVATIONS,,A1,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-16-01,,DR,16,FOUNDATION LAYOUT,,A1,,,,,,,,D,,,,,C,,,B,B,,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-23-01,,DR,23,SLAB JOINT LAYOUT,,A1,,,,,,,,,,,,,B,,,A,A,,,,,,,,,,,,,,,,
230049-M+J-V2-XX-DR-S-20-01,,DR,20,OVERALL 3D VIEW,,A1,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CIP ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V3-00-DR-S-20-01,,DR,20,GROUND FLOOR PLANS,,A1,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V3-XX-DR-S-20-02,,DR,20,GROUND FLOOR DETAILS,,A1,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPIRIT STORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V4-XX-DR-S-00-01,,DR,00,GENERAL NOTES,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V4-XX-DR-S-06-01,,DR,00,3D VIEW,,A1,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V4-00-DR-S-20-01,,DR,20,GROUND FLOOR PLANS,,A1,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V4-00-DR-S-20-02,,DR,20,SECTIONS AND DETAILS,,A1,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OLD GENERATOR ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V5-XX-DR-S-20-01,,,,"STRUCTURAL PLANS, DETAIL & NOTES",,A2,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,
